domain,active_our_score,rating_our_score
dailywire.com,y,c
ijr.com,y,u
dailycaller.com,y,c
occupydemocrats.com,y,l
express.co.uk,y,c
redstatewatcher.com,y,c
thepoliticalinsider.com,y,c
thefederalistpapers.org,y,c
bipartisanreport.com,y,l
rightwingnews.com,y,c
madworldnews.com,y,c
yournewswire.com,y,c
uschronicle.com,y,c
louderwithcrowder.com,y,c
jewsnews.co.il,n,
100percentfedup.com,y,c
angrypatriotmovement.com,y,c
anonhq.com,y,u
inquisitr.com,y,u
worldtruth.tv,y,u
collective-evolution.com,y,u
ilovemyfreedom.org,y,c
tribunist.com,y,u
clashdaily.com,y,c
naturalnews.com,y,u
joeforamerica.com,y,c
conservativedailypost.com,y,c
worldnewsdailyreport.com,y,u
trueactivist.com,y,u
americasfreedomfighters.com,y,c
conservative101.com,n,
babylonbee.com,y,c
firstpost.com,y,u
zerohedge.com,y,u
teaparty.org,y,c
palmerreport.com,y,l
judicialwatch.org,y,c
disclose.tv,y,u
conservativepost.com,y,c
thegatewaypundit.com,y,c
infowars.com,y,c
dailysnark.com,y,u
postcard.news,y,u
higherperspectives.com,y,u
tmn.today,n,
eaglerising.com,y,c
en-volve.com,y,c
wnd.com,y,c
dailypost.ng,y,u
davidwolfe.com,y,u
noticias-frescas.com,y,u
crooksandliars.com,y,l
toprightnews.com,n,
healthnutnews.com,y,u
bb4sp.com,y,c
beforeitsnews.com,y,u
truthuncensored.net,y,u
awarenessact.com,y,u
concealednation.org,y,c
duffelblog.com,y,u
nation.com.pk,y,u
actualidadpanamericana.com,y,u
theconservativetreehouse.com,y,c
dcclothesline.com,y,c
themindunleashed.com,y,u
huzlers.com,y,u
conservativefiringline.com,y,c
frontpagemag.com,y,c
endtimeheadlines.org,y,c
downtrend.com,y,c
dennismichaellynch.com,y,u
rearfront.com,y,u
actualite.co,y,u
nowtheendbegins.com,y,c
activistpost.com,y,u
newzmagazine.com,y,u
12minutos.com,y,u
wearechange.org,y,c
neonnettle.com,y,c
powderedwigsociety.com,y,c
americanjournalreview.com,y,c
dailyoccupation.com,y,u
newsrescue.com,y,u
democraticmoms.com,n,
thehornnews.com,y,c
the-postillon.com,y,u
breakingnews365.net,n,
burrardstreetjournal.com,y,u
breakingnews247.net,n,
barenakedislam.com,y,c
rickwells.us,y,c
theeventchronicle.com,n,
whatsupic.com,n,
ahtribune.com,y,c
ipatriot.com,y,c
empirenews.net,y,u
channel24news.com,n,
redflagnews.com,n,
medicalkidnap.com,y,u
afa.net,y,c
friendsofsyria.wordpress.com,y,u
realnewsrightnow.com,y,u
whydontyoutrythis.com,n,
adobochronicles.com,y,u
eutimes.net,y,c
thepeoplescube.com,y,c
stateofthenation2012.com,y,c
stuppid.com,n,
fellowshipoftheminds.com,y,c
channel28news.com,n,
anonews.co,y,u
trunews.com,y,c
thenationalmarijuananews.com,y,u
channel5000.com,n,
freerepublic.com,y,c
actualites.co,n,
mainerepublicemailalert.com,n,
democraticunderground.com,y,l
mediamass.net,y,c
gotnews.com,n,
mrnewswatch.com,n,
20minutenews.com,n,
en.mediamass.net,y,u
24aktuelles.com,n,
viralcocaine.com,n,
daily-sun.com,y,u
whatdoesitmean.com,y,u
endoftheamericandream.com,y,c
flashinfo.org,n,
dailypresser.com,n,
therooster.com,y,u
blackinsurancenews.com,n,
thelastamericanvagabond.com,y,u
stillnessinthestorm.com,y,u
independentminute.com,y,u
cannasos.com,n,
redinfo.us,n,
2ndvote.com,y,c
everydaybreakingnews.com,n,
iotwreport.com,y,c
tmzcomedy.com,n,
newsbiscuit.com,y,u
viralpropaganda.com,n,
americafans.com,n,
attitude.co.uk,y,u
anews24.org,n,
cnnews3.com,n,
